tconst,title,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0098968,83 Hours 'Til Dawn,tvMovie,1990,90,5.6,342
tt0098971,Saga of the Phoenix,movie,1990,93,5.3,129
tt0098987,The Adventures of Ford Fairlane,movie,1990,104,6.5,17108
tt0098990,Afghan Breakdown,movie,1991,140,7.1,419
tt0098993,Time Off,movie,1990,45,7.0,248
tt0098994,After Dark My Sweet,movie,1990,114,6.6,3169
tt0098995,After the Shock,tvMovie,1990,100,5.9,124
tt0098996,Aftershock,movie,1990,91,4.3,278
tt0098998,The Age of Insects,movie,1990,75,5.0,31
tt0098999,Agneepath,movie,1990,174,7.7,8272
tt0099004,The Ghost of Fletcher Ridge,movie,1990,90,5.0,63
tt0099005,Air America,movie,1990,113,5.8,26892
tt0099012,Alice,movie,1990,106,6.6,13338
tt0099014,All the Vermeers in New York,movie,1990,87,6.6,556
tt0099017,Alligator Eyes,movie,1990,101,4.0,133
tt0099018,Almost an Angel,movie,1990,95,5.6,4087
tt0099021,Always Remember I Love You,tvMovie,1990,95,8.0,539
tt0099026,Into Thin Air,movie,1990,96,5.9,3098
tt0099028,American Dream,movie,1990,98,7.9,739
tt0099030,Amityville 5,video,1990,91,2.9,1796
tt0099037,Andre's Mother,tvEpisode,1990,60,7.6,132
tt0099039,Angel Town,movie,1990,102,5.1,583
tt0099040,An Angel at My Table,movie,1990,158,7.5,6661
tt0099041,Angel of Death,tvMovie,1990,86,5.8,153
tt0099044,Another 48 Hrs.,movie,1990,93,5.9,38189
tt0099045,Almost Too Late,tvMovie,1990,91,6.0,339
tt0099049,Appearances,tvMovie,1990,94,6.3,14
tt0099050,Naked Rage,movie,1990,88,3.8,113
tt0099052,Arachnophobia,movie,1990,109,6.4,62989
tt0099054,Archie: To Riverdale and Back Again,tvMovie,1990,100,5.4,381
tt0099059,The Arrival,movie,1991,103,4.1,280
tt0099066,Savage Attraction,movie,1990,83,4.5,19
tt0099073,Avalon,movie,1990,128,7.2,5671
tt0099074,Adventure of Catherine C.,movie,1990,100,4.7,42
tt0099077,Awakenings,movie,1990,121,7.8,123843
tt0099080,A Rebel for Love,movie,1990,157,5.6,1185
tt0099082,Babies,tvMovie,1990,92,6.5,83
tt0099085,Backstab,movie,1990,91,5.2,202
tt0099087,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,tvMovie,1990,92,6.2,130
tt0099088,Three,movie,1990,118,7.4,403904
tt0099090,Backstreet Dreams,movie,1990,96,5.2,193
tt0099091,Bad Influence,movie,1990,99,6.2,7395
tt0099092,Bad Jim,movie,1990,90,4.1,193
tt0099095,Bail Jumper,movie,1990,93,6.6,42
tt0099097,Sideburns,movie,1990,100,7.3,360
tt0099108,House of Freaks,movie,1990,90,5.4,4418
