filename,mark,x.field,x.type,y.aggregate,y.field,y.type,color.field,color.type,x.aggregate,size.field,size.type,size.aggregate,color.aggregate,shape.field,shape.type,column.field,column.type,row.field,row.type,label
bar_month_temporal_normalized.vl.json,43,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
test_field_with_spaces_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_project_multi_origin.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_single.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_color_custom_normalized.vl.json,37,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
test_single_point_color.vl.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_transform_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_zoom_scatterplot_shift-wheel_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
stacked_bar_population_normalized.vl.json,43,1,59,16,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
point_bubble_normalized.vl.json,37,1,47,7,1,33,0,81,71,1,68,13,98,0,6,0,77,0,82,0
bar_sort_by_count.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_partial.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_output_utc_scale_normalized.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
time_parse_utc_format_normalized.vl.json,37,0,32,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_20_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
point_color_ordinal.vl.json,37,1,47,7,1,33,1,12,71,0,41,13,98,0,6,0,77,0,82,0
circle_github_punchcard_normalized.vl.json,37,1,59,7,1,96,0,81,71,1,68,83,98,0,6,0,77,0,82,0
stacked_bar_h.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
bar_aggregate_size_normalized.vl.json,43,1,59,16,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_custom_sort_full_normalized.vl.json,43,1,59,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_shape_custom.vl.json,37,1,47,7,1,33,1,88,71,1,68,13,98,0,6,0,77,0,82,0
bar_month_normalized.vl.json,43,1,59,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_overlap.vl.json,37,0,32,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
line_mean_month.vl.json,94,1,18,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
selection_composition_and.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_flatten_normalized.vl.json,37,1,47,7,1,9,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_type_interval.vl.json,96,1,59,7,1,96,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_5_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
test_subobject_nested_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
interactive_paintbrush_color_normalized.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_count.vl.json,43,1,59,24,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
test_aggregate_nested_normalized.vl.json,43,1,47,7,1,9,1,88,32,0,41,13,98,0,6,0,77,0,82,0
line_impute_frame_normalized.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
selection_toggle_altKey_shiftKey.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_2d_array_named_normalized.vl.json,37,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
circle_binned_maxbins_2.vl.json,37,1,47,7,1,33,0,81,71,0,68,91,98,0,6,0,77,0,82,0
bar_1d_step_config_normalized.vl.json,43,1,47,7,0,28,0,81,32,0,41,13,98,0,6,0,77,0,82,0
selection_project_single_cylinders.vl.json,37,1,47,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_ordinal_color.vl.json,37,1,47,7,1,33,1,12,71,0,41,13,98,0,6,0,77,0,82,0
bar_size_fit.vl.json,43,1,7,24,0,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
point_dot_timeunit_color_normalized.vl.json,37,1,47,7,0,28,1,65,20,0,41,13,98,0,6,0,77,0,82,0
bar_swap_axes.vl.json,43,1,47,7,1,9,0,81,67,0,41,13,98,0,6,0,77,0,82,0
line_impute_keyvals.vl.json,94,1,47,7,1,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
time_output_utc_timeunit_normalized.vl.json,94,1,18,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
tick_dot_thickness.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
stacked_bar_weather.vl.json,43,1,59,24,0,33,1,88,71,0,41,13,98,0,6,0,77,0,82,0
tick_dot_thickness_normalized.vl.json,67,1,47,7,0,28,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_column_pivot_normalized.vl.json,43,1,7,7,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_month.vl.json,43,1,59,77,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
bar_array_aggregate.vl.json,43,1,7,46,1,33,0,81,71,0,41,13,98,0,6,0,77,0,82,0
